43
0	10	8	8	17	9	8	19	13	11	17	8	13	21	9	8	10	9	6	7	13	19	8	8	7	12	10	19	10	9	11	8	11	11	7	15	13	8	7	13	14	5	7
14	0	14	16	14	11	15	14	12	9	14	15	10	12	11	9	18	7	9	8	12	14	15	14	12	17	9	15	11	11	12	8	14	10	9	10	12	15	13	13	14	8	7
11	17	0	15	10	14	14	11	8	8	11	14	8	10	9	8	16	5	8	6	9	10	15	13	19	15	7	13	14	9	9	7	13	7	16	9	9	17	11	10	10	6	7
11	9	10	0	10	10	20	12	10	8	10	16	10	11	10	8	14	7	8	7	9	11	12	8	9	19	6	11	9	7	9	7	12	9	7	9	10	8	10	11	11	4	6
11	10	7	8	0	7	10	8	7	8	10	9	23	8	9	5	14	9	5	6	9	7	4	8	5	8	6	11	7	8	5	8	10	6	6	5	7	7	8	7	10	3	4
11	15	18	14	10	0	12	11	9	8	10	13	9	10	9	8	17	6	8	6	9	10	18	11	16	14	7	13	18	9	9	7	13	7	18	9	9	13	10	10	10	6	7
12	9	9	14	12	10	0	12	10	9	9	20	12	11	9	9	15	6	8	6	9	11	11	13	8	19	6	11	10	7	10	6	12	9	7	9	10	7	9	11	11	4	7
19	10	9	7	13	10	7	0	12	10	15	7	9	18	11	9	11	6	6	7	12	20	9	7	7	12	10	17	11	7	11	8	8	11	7	11	19	8	7	15	18	4	7
11	10	9	7	8	11	7	12	0	14	15	7	10	10	14	12	12	10	14	12	16	14	9	7	8	11	16	14	12	16	14	10	8	12	7	9	11	8	15	13	14	10	9
6	6	4	4	9	5	4	5	8	0	6	4	8	3	11	16	7	9	6	13	7	5	5	4	4	5	11	6	5	9	4	10	4	5	4	3	4	4	7	4	5	4	13
12	15	13	13	17	13	13	13	15	7	0	12	12	10	8	8	17	8	9	6	18	11	15	12	12	17	10	13	14	9	16	8	9	16	12	7	13	11	12	11	17	4	7
10	8	9	16	9	10	19	11	9	8	8	0	9	10	9	8	13	6	8	6	8	10	10	10	7	16	6	10	9	7	8	6	11	8	6	8	9	7	9	10	10	4	6
13	6	5	6	27	8	7	8	6	7	7	6	0	7	7	4	14	6	7	4	6	9	5	5	3	7	8	8	8	8	6	7	9	6	4	4	7	5	6	7	11	4	3
17	10	8	7	13	9	7	18	12	9	15	7	9	0	9	8	11	5	5	7	13	19	7	7	6	12	9	16	9	6	11	8	8	12	6	10	12	8	6	13	16	3	6
10	5	5	4	10	6	5	7	9	16	9	4	10	6	0	14	8	10	7	15	8	8	6	4	5	5	13	9	6	9	4	15	7	6	5	5	7	4	8	5	8	4	11
6	7	5	5	7	6	4	6	8	11	7	4	6	4	10	0	9	6	6	9	8	6	6	4	5	6	9	7	6	7	6	6	4	6	5	4	5	5	7	5	6	4	14
12	11	9	8	12	13	8	11	7	5	11	8	18	10	7	5	0	2	6	4	9	12	14	8	7	11	6	11	13	6	10	5	6	7	7	9	11	8	7	11	13	4	4
8	5	4	3	7	5	5	6	11	11	5	4	8	5	12	9	6	0	6	12	6	7	5	4	4	5	9	8	5	8	4	11	6	5	4	6	4	4	6	5	5	6	8
7	4	3	2	5	5	3	5	13	13	8	3	4	5	12	11	6	8	0	11	7	6	6	3	3	6	12	7	6	12	4	8	2	4	3	5	4	3	11	5	7	8	8
8	6	6	5	7	7	5	8	8	12	8	5	7	6	15	12	9	8	6	0	8	8	6	5	5	6	11	9	7	7	5	16	5	6	6	6	6	5	7	6	7	4	11
13	13	11	10	15	11	10	14	13	6	14	10	10	11	9	7	12	8	6	8	0	13	9	10	10	15	8	15	11	6	16	12	9	17	10	9	12	10	7	11	12	4	6
16	12	11	9	12	12	9	19	13	10	16	9	11	14	11	9	13	6	7	7	13	0	10	9	9	12	11	19	13	8	13	8	9	11	9	12	14	10	9	20	18	4	7
11	12	11	10	11	13	10	11	8	6	12	10	11	10	7	6	17	5	7	5	9	10	0	9	11	15	6	12	12	6	10	7	9	8	9	9	10	10	10	10	13	5	5
10	7	8	14	7	8	16	10	7	7	8	14	6	9	8	8	11	4	6	6	8	9	9	0	8	13	6	9	8	6	8	6	8	7	7	8	9	6	7	9	9	4	6
11	15	19	14	10	14	13	11	7	7	11	13	8	10	8	8	15	5	7	6	9	10	15	12	0	15	7	13	15	8	9	7	12	7	16	9	9	17	10	10	10	6	7
14	11	12	11	15	12	16	15	12	8	13	13	12	13	9	8	16	7	9	7	12	14	12	8	11	0	9	14	14	8	17	8	11	11	10	12	15	10	9	14	14	7	7
9	5	4	4	8	6	4	7	14	15	11	4	8	6	15	14	7	11	12	12	10	8	5	4	4	9	0	9	7	15	8	9	5	8	4	6	6	4	11	7	9	9	11
18	13	11	9	11	12	9	19	12	10	14	9	9	16	11	8	14	5	6	8	12	19	11	9	9	13	11	0	13	8	11	9	9	10	9	14	14	10	8	17	17	5	7
