10	2854	58758905.5	0	58732207	58785604	"evm.model.group10.1381"
10	1942	57824488.5	0	57824199	57824778	"evm.model.group10.1340"
3	1942	24743637	0	24742811	24744463	"evm.model.group3.1175"
10	107	57674000	0	57653734	57694266	"evm.model.group10.1336"
1	107	144974125.5	0	144967595	144980656	"evm.model.group1.5079"
3	107	24896788.5	0	24881482	24912095	"evm.model.group3.1183"
9	107	9983579	0	9982971	9984187	"evm.model.group9.451"
1	3598	144923492	0	144921967	144925017	"evm.model.group1.5076"
10	1943	57516898.5	0	57514690	57519107	"evm.model.group10.1329"
9	110	10330688	0	10330255	10331121	"evm.model.group9.465"
9	110	10332134.5	0	10331389	10332880	"evm.model.group9.466"
10	110	57243036	0	57232689	57253383	"evm.model.group10.1312"
10	2119	57220563	0	57212546	57228580	"evm.model.group10.1311"
3	2851	25264294.5	0	25245529	25283060	"evm.model.group3.1201"
10	2851	57153401.5	0	57142567	57164236	"evm.model.group10.1307"
9	2120	10472575.5	0	10452792	10492359	"evm.model.group9.471"
10	2120	57128608.5	0	57123613	57133604	"evm.model.group10.1306"
1	2120	144550565	0	144542390	144558740	"evm.model.group1.5059"
3	3258	25383438.5	0	25382740	25384137	"evm.model.group3.1208"
12	1086	31603731	0	31594274	31613188	"evm.model.group12.900"
15	2412	51978931.5	0	51977341	51980522	"evm.model.group15.1372"
15	3955	52153689.5	0	52148578	52158801	"evm.model.group15.1378"
0	3955	129715050	0	129698752	129731348	"evm.model.group0.3629"
12	3955	31822537	0	31815887	31829187	"evm.model.group12.914"
0	2421	130074524.5	0	130063448	130085601	"evm.model.group0.3653"
15	2426	52696134.5	0	52692021	52700248	"evm.model.group15.1410"
12	2426	32187954	0	32186132	32189776	"evm.model.group12.928"
1	4883	3729584	0	3728051	3731117	"evm.model.group1.178"
0	4883	130958802	0	130957637	130959967	"evm.model.group0.3693"
828	323	37782	0	30946	44618	"evm.model.contig828.4"
12	323	32646325	0	32642286	32650364	"evm.model.group12.948"
0	323	131010107.5	0	130983544	131036671	"evm.model.group0.3696"
1	1927	3705595.5	0	3702441	3708750	"evm.model.group1.175"
828	1927	116465.5	0	113763	119168	"evm.model.contig828.9"
1	1927	102630450	0	102626792	102634108	"evm.model.group1.3323.1"
0	1927	131072568	0	131061588	131083548	"evm.model.group0.3698"
2	1927	108488623.5	0	108488346	108488901	"evm.model.group2.3998"
1	5672	103332053	0	103330682	103333424	"evm.model.group1.3359"
2	5671	107661360	0	107660810	107661910	"evm.model.group2.3949"
1	5671	103511226.5	0	103511065	103511388	"evm.model.group1.3367"
1	906	103681323.5	0	103670354	103692293	"evm.model.group1.3377"
18	905	1702149.5	0	1695389	1708910	"evm.model.group18.61"
7	2232	70920117.5	0	70915132	70925103	"evm.model.group7.2459"
2	2232	106925333.5	0	106913263	106937404	"evm.model.group2.3916"
1	3034	104044490.5	0	104044256	104044725	"evm.model.group1.3393"
2	3034	106957016	0	106956821	106957211	"evm.model.group2.3918"
1	3034	104095108.5	0	104094874	104095343	"evm.model.group1.3395"
